time,signal
1274,123.139
1275,125.326
1276,128.815
1277,117.685
1278,134.017
1279,110.582
1280,115.707
1281,118.254
1282,115.041
1283,133.382
1284,131.871
1285,107.489
1286,104.001
1287,103.462
1288,111.234
1289,130.9
1290,128.923
1291,130.781
1292,129.042
1293,137.481
1294,121.371
1295,118.808
1296,109.503
1297,108.424
1298,102.251
1299,103.51
1300,105.098
1301,91.942
1302,95.2085
1303,92.9609
1304,128.871
1305,129.436
1306,131.44
1307,133.148
1308,109.431
1309,113.939
1310,112.86
1311,122.899
1312,120.759
1313,136.012
1314,113.531
1315,96.8448
1316,117.295
1317,137.266
1318,136.325
1319,117.655
1320,116.426
1321,128.024
1322,121.982
1323,126.106
1324,137.625
1325,128.503
1326,118.044
1327,138.003
1328,116.756
1329,95.8379
1330,98.8047
1331,132.596
1332,116.576
1333,112.14
1334,109.863
1335,107.121
1336,114.358
1337,128.983
1338,132.316
1339,113.549
1340,122.09
1341,130.061
1342,124.248
1343,126.285
1344,124.947
1345,122.509
1346,139.621
1347,125.566
1348,138.093
1349,127.664
1350,126.106
1351,110.357
1352,149.395
1353,137.553
1354,127.065
1355,102.371
1356,116.14
1357,137.439
1358,115.377
1359,137.697
1360,118.374
1361,126.369
1362,139.486
1363,141.689
1364,137.643
1365,118.434
1366,100.912
1367,114.673
1368,128.486
1369,137.134
1370,121.281
1371,126.001
1372,125.626
1373,139.846
1374,137.254
1375,138.129
1376,120.052
1377,117.894
1378,95.1186
1379,98.9545
1380,101.884
1381,99.5689
1382,104.433
1383,141.108
1384,115.514
1385,96.8268
1386,99.3741
1387,119.707
1388,134.964
1389,118.614
1390,107.121
1391,102.157
1392,108.484
1393,117.62
1394,116.264
1395,108.604
1396,116.875
1397,142.049
1398,134.646
1399,114.695
1400,120.292
1401,140.97
1402,115.617
1403,110.822
1404,135.486
1405,137.613
1406,128.383
1407,132.519
1408,112.44
1409,116.396
1410,114.43
1411,112.2
1412,112.956
1413,153.466
1414,155.864
1415,139.756
1416,122.854
1417,107.376
1418,117.235
1419,131.594
1420,119.547
1421,132.639
1422,122.27
1423,130.865
1424,108.514
1425,112.785
1426,138.093
1427,137.958
1428,135.605
1429,122.539
1430,107.418
1431,99.7037
1432,107.489
1433,107.076
1434,102.251
1435,98.4271
1436,118.943
1437,132.758
1438,115.302
1439,111.301
1440,107.382
1441,91.5824
1442,94.0398
1443,91.6573
1444,100.025
1445,149.121
1446,113.639
1447,109.803
1448,129.762
1449,111.265
1450,113.716
1451,135.036
1452,137.805
1453,131.692
1454,121.299
1455,124.967
1456,121.79
1457,129.147
1458,125.686
1459,119.896
1460,115.401
1461,117.325
1462,114.178
1463,133.777
1464,143.082
1465,141.381
1466,116.815
1467,113.339
1468,124.607
1469,137.868
1470,112.74
1471,108.245
1472,138.745
1473,133.49
1474,130.781
1475,136.609
1476,121.802
1477,113.909
1478,108.964
1479,106.566
1480,103.713
1481,108.125
1482,106.545
1483,105.445
1484,106.387
1485,105.323
1486,108.527
1487,116.156
1488,132.735
1489,121.431
1490,128.537
1491,108.484
1492,110.178
1493,142.912
1494,104.604
1495,132.137
1496,137.913
1497,135.0
1498,116.516
1499,114.178
1500,102.82
1501,112.164
1502,116.875
1503,134.609
1504,137.613
1505,122.539
1506,116.111
1507,108.904
1508,107.525
1509,105.008
1510,122.27
1511,140.538
1512,139.531
1513,116.696
1514,118.404
1515,120.966
1516,143.068
1517,130.109
1518,122.25
1519,110.882
1520,113.939
1521,109.983
1522,107.106
1523,110.702
1524,155.714
1525,143.451
1526,132.639
1527,125.746
1528,131.26
1529,121.73
1530,120.442
1531,122.929
1532,111.931
1533,116.396
1534,115.488
1535,130.061
1536,132.938
1537,151.435
1538,149.457
1539,137.284
1540,139.351
1541,119.952
1542,137.266
1543,120.022
1544,121.874
1545,110.043
1546,120.472
1547,136.07
1548,135.935
1549,117.505
1550,115.122
1551,118.913
1552,114.178
1553,121.251
1554,115.317
1555,138.632
1556,118.793
1557,128.923
1558,119.932
1559,116.216
1560,119.069
1561,114.409
1562,120.908
1563,102.431
1564,106.087
1565,105.291
1566,141.15
1567,113.099
1568,137.226
1569,132.069
1570,135.795
1571,110.942
1572,116.85
1573,112.2
1574,114.448
1575,110.552
1576,113.234
1577,102.671
1578,137.553
1579,104.199
1580,106.087
1581,131.157
1582,114.838
1583,112.668
1584,142.768
1585,120.292
1586,154.006
1587,115.976
1588,148.126
1589,125.656
1590,149.78
1591,149.016
1592,136.243
1593,113.382
1594,93.5603
1595,102.536
1596,137.823
1597,135.611
1598,141.977
1599,143.727
1600,140.173
1601,124.787
1602,117.595
1603,111.167
1604,106.986
1605,101.831
1606,100.423
1607,98.8347
1608,101.566
1609,106.761
1610,141.941
1611,138.273
1612,139.963
1613,133.921
1614,124.355
1615,139.052
1616,124.222
1617,123.798
1618,119.141
1619,112.021
1620,115.437
1621,129.687
1622,127.709
1623,111.221
1624,139.711
1625,140.122
1626,108.544
1627,134.137
1628,122.315
1629,131.665
1630,130.361
1631,132.375
1632,130.061
1633,138.273
1634,123.888
1635,108.424
1636,114.718
1637,115.653
1638,130.464
1639,139.531
1640,120.951
1641,121.191
1642,107.226
1643,104.514
1644,111.721
1645,113.519
1646,109.323
1647,123.241
1648,139.801
1649,138.048
1650,114.795
1651,116.696
1652,120.966
1653,137.553
1654,122.09
1655,123.996
1656,122.09
1657,124.367
1658,121.401
1659,110.762
1660,112.488
1661,110.163
1662,113.927
1663,107.975
1664,109.084
1665,104.229
1666,101.861
1667,149.72
1668,130.721
1669,123.229
1670,114.178
1671,137.374
1672,114.358
1673,114.898
1674,109.623
1675,111.301
1676,110.163
1677,100.657
1678,97.2763
1679,99.7037
1680,114.133
1681,116.264
1682,136.894
1683,116.276
1684,107.226
1685,110.043
1686,104.738
1687,105.413
1688,117.918
1689,143.739
1690,135.913
1691,111.002
1692,104.648
1693,125.596
1694,128.455
1695,135.98
1696,117.1
1697,118.763
1698,134.699
1699,107.053
1700,132.818
1701,132.663
1702,108.185
1703,128.143
1704,139.84
1705,139.771
1706,129.882
1707,125.866
1708,127.484
1709,125.296
1710,120.082
1711,116.965
1712,140.116
1713,127.214
1714,115.707
1715,150.814
1716,133.885
1717,151.938
1718,135.62
1719,133.193
1720,126.261
1721,127.634
1722,145.045
1723,124.14
1724,107.665
1725,101.172
1726,99.845
1727,103.03
1728,108.016
1729,111.877
1730,100.051
1731,113.207
1732,124.989
1733,150.058
1734,133.007
1735,127.214
1736,143.415
1737,107.346
1738,133.298
1739,135.441
1740,130.226
1741,131.755
1742,114.916
1743,155.175
1744,143.397
1745,137.302
1746,118.614
1747,109.144
1748,112.524
1749,123.948
1750,131.979
1751,125.974
1752,129.59
1753,127.412
1754,122.809
1755,128.623
1756,137.697
1757,142.528
